"Address","agencyId","AgencyName","AgencyType","City","County","LicenseEffectiveDate","LicenseeGroupOrganizationName","LicenseExpirationDate","LicenseNumber","LicenseStatus","Phone","ZipCode"
"425 Ormsby St, Adrian, Lenawee, MI 49221-2341, UNITED STATES","a0i8z0000006alGAAQ","CATHOLIC CHARITIES OF JACKSON, LENAWEE & HILLSDALE","Child Placing Agency: Private","Adrian","Lenawee","2024-12-20","Catholic Charities of Jacksn, Lenw, & Hillsd","2026-12-19","CB460308844","Regular","5172953334","49221-2341"
"903 S TELEGRAPH RD, MONROE, Monroe, MI 48161-5538, UNITED STATES","a0i8z0000006amlAAA","Monroe County DHHS","Child Placing Agency: MDHHS","Monroe","Monroe","2024-04-20","Michigan Department of Health and Human Services","2026-04-19","CP580201306","Regular","3132437203","48161-5538"
"1608 LAKE ST, KALAMAZOO, Kalamazoo, MI 49001-3170, UNITED STATES","a0i8z0000006amoAAA","FAMILY & CHILDREN SERVICES INC.","Child Placing Agency: Private","Kalamazoo","Kalamazoo","2024-12-12","Family & Children Services","2026-12-11","CB390201118","Regular","2693440202","49001-3170"
"463 E 3 MILE RD, SAULT S MARIE, Chippewa, MI 49783-9476, UNITED STATES","a0i8z0000006arRAAQ","Chippewa/Luce/Mackinac County DHHS","Child Placing Agency: MDHHS","Sault S Marie","Chippewa","2025-01-03","Michigan Department of Health and Human Services","2027-01-02","CP170201061","Regular","9062030033","49783-9476"
"7996 GRAND RIVER RD, BRIGHTON, Livingston, MI 48114-9304, UNITED STATES","a0i8z0000006arTAAQ","GROWING HOPE THROUGH LOVE","Child Placing Agency: Private","Brighton","Livingston","2025-09-09","Growing Hope Through Love","2027-09-08","CB470366531","Regular","5177984020","48114-9304"
"1000 HASTINGS ST, TRAVERSE CITY, Grand Traverse, MI 49686-3445, UNITED STATES","a0i8z0000006asqAAA","CATHOLIC HUMAN SERVICES INC - TR","Child Placing Agency: Private","Traverse City","Grand Traverse","2025-03-01","Catholic Human Serv. Inc","2027-02-28","CB280201014","Regular","2319478110","49686-3445"
"1338 BALDWIN ST, JENISON, Ottawa, MI 49428-8937, UNITED STATES","a0i8z0000006assAAA","ADOPTION ASSOCIATES, INC","Child Placing Agency: Private","Jenison","Ottawa","2025-09-16","Adoption Associates Inc","2027-09-15","CB700200923","Regular","6166670677","49428-8937"
"901 Eastern Ave NE, Building A, Grand Rapids, Kent, MI 49503-1201, UNITED STATES","a0i8z0000006aycAAA","BETHANY CHRISTIAN SERVICES - REFUGEE PROGRAM","Child Placing Agency: Private","Grand Rapids","Kent","2024-10-19","Bethany Christian Services Inc","2026-10-18","CB410200974","Regular","6162247540","49503-1201"
"131 S WINTER ST, ADRIAN, Lenawee, MI 49221-2602, UNITED STATES","a0i8z0000006aydAAA","FOSTERING SOLUTIONS","Child Placing Agency: Private","Adrian","Lenawee","2024-12-13","Fostering Solutions","2026-12-12","CB460360419","Regular","5172630020","49221-2602"
"430 BARFIELD DR, HASTINGS, Barry, MI 49058-9050, UNITED STATES","a0i8z0000006b3QAAQ","BARRY COUNTY DHHS","Child Placing Agency: MDHHS","Hastings","Barry","2024-05-01","Michigan Department of Health and Human Services","2026-04-30","CP080200963","Regular","2699483200","49058-9050"
"1399 W CENTER RD, ESSEXVILLE, Bay, MI 48732-2115, UNITED STATES","a0i8z0000006b3RAAQ","BAY COUNTY DHHS","Child Placing Agency: MDHHS","Essexville","Bay","2024-10-08","Michigan Department of Health and Human Services","2026-10-07","CP090200967","Regular","9898952250","48732-2115"
"725 RICHARD DR, HARRISON, Clare, MI 48625-9289, UNITED STATES","a0i8z0000006b3SAAQ","Clare/Isabella MDHHS","Child Placing Agency: MDHHS","Harrison","Clare","2025-09-30","Michigan Department of Health and Human Services","2027-09-29","CP180201067","Regular","9895394260","48625-9289"
"901 EASTERN AVE, GRAND RAPIDS, Kent, MI 49503-1201, UNITED STATES","a0i8z0000006b4pAAA","BETHANY CHRISTIAN SERVICES INC-GRAND RAPIDS","Child Placing Agency: Private","Grand Rapids","Kent","2024-09-28","Bethany Christian Services Inc","2026-09-27","CB410200976","Regular","6164596273","49503-1201"
"91 S TELEGRAPH RD, PONTIAC, Oakland, MI 48341-1580, UNITED STATES","a0i8z0000006b4sAAA","ENNIS CENTER FOR CHILDREN - PONTIAC","Child Placing Agency: Private","Pontiac","Oakland","2024-06-29","Ennis Center for Children Inc","2026-06-28","CB630315340","Regular","2483342715","48341-1580"
"701 S ELMWOOD AVE STE 19, Suite 19, TRAVERSE CITY, Grand Traverse, MI 49684-3185, UNITED STATES","a0i8z0000006b4tAAA","GRAND TRAVERSE/LEELANAU/KALKASKA DHHS","Child Placing Agency: MDHHS","Traverse City","Grand Traverse","2025-12-07","Michigan Department of Health and Human Services","2027-12-06","CP280201153","Regular","2319413900","49684-3185"
"1120 W Bristol Rd, Flint, Genesee, MI 48507-5518, UNITED STATES","a0i8z0000006ddsAAA","ENNIS CENTER FOR CHILDREN - FLINT","Child Placing Agency: Private","Flint","Genesee","2025-02-28","Ennis Center for Children Inc","2027-02-27","CB250201108","Regular","8102334031","48507-5518"
"108 MAIN ST, BARAGA, Baraga, MI 49908-9671, UNITED STATES","a0i8z0000006ddtAAA","BARAGA/HOUGHTON/KEWEENAW COUNTY DHHS","Child Placing Agency: MDHHS","Baraga","Baraga","2024-07-30","Michigan Department of Health and Human Services","2026-07-29","CP070200958","Regular","9063534700","49908-9671"
"2031 S Elms Rd, Building B, Swartz Creek, Genesee, MI 48473-9728, UNITED STATES","a0i8z0000006dduAAA","ADOPTION AND FOSTER CARE SPECIALISTS, INC.","Child Placing Agency: Private","Swartz Creek","Genesee","2024-11-25","Adoption and Foster Care Specialists, Inc.","2026-11-24","CB440295542","Regular","8106141400","48473-9728"
"411 E GENESEE AVE, SAGINAW, Saginaw, MI 48607-1254, UNITED STATES","a0i8z0000006dibAAA","SAGINAW COUNTY DHHS","Child Placing Agency: MDHHS","Saginaw","Saginaw","2024-09-08","Michigan Department of Health and Human Services","2026-09-07","CP730201395","Regular","9895458237","48607-1254"
"24445 NORTHWESTERN HWY STE 200, Suite 200, SOUTHFIELD, Oakland, MI 48075-2437, UNITED STATES","a0i8z0000006e0VAAQ","CATHOLIC CHARITIES OF SOUTHEAST MICHIGAN","Child Placing Agency: Private","Southfield","Oakland","2025-03-29","Catholic Charities of Southeast Michigan","2027-03-28","CB630201423","Regular","2485520750","48075-2437"
"3095 CABARET TRL S, SAGINAW, Saginaw, MI 48603-2284, UNITED STATES","a0i8z0000006e0WAAQ","ENNIS CENTER FOR CHILDREN - SAGINAW","Child Placing Agency: Private","Saginaw","Saginaw","2024-06-09","Ennis Center for Children Inc","2026-06-08","CB730410102","Regular","9895580020","48603-2284"
"70 CALHOUN ST, BATTLE CREEK, Calhoun, MI 49017-3845, UNITED STATES","a0i8z0000006e0YAAQ","YOUTH GUIDANCE FOSTER CARE","Child Placing Agency: Private","Battle Creek","Calhoun","2024-06-03","Youth Guidance Foster Care","2026-06-02","CB130201519","Regular","2692754954","49017-3845"
"57 HURON ST, HOUGHTON, Houghton, MI 49931-2167, UNITED STATES","a0i8z0000006e6UAAQ","U.P. KIDS","Child Placing Agency: Private","Houghton","Houghton","2024-09-21","Good Will Farm Association Inc dba U.P. Kids","2026-09-20","CB310282171","Regular","9064820520","49931-2167"
"2300 E GRAND RIVER AVE STE 1, Suite 1, HOWELL, Livingston, MI 48843-7577, UNITED STATES","a0i8z0000006eBFAAY","LIVINGSTON COUNTY DHHS","Child Placing Agency: MDHHS","Howell","Livingston","2025-11-20","Michigan Department of Health and Human Services","2027-11-19","CP470201250","Regular","5172949165","48843-7577"
"15635 W 12 MILE RD, SOUTHFIELD, Oakland, MI 48076-3048, UNITED STATES","a0i8z0000006eCQAAY","MORNING STAR ADOPTION CENTER","Child Placing Agency: Private","Southfield","Oakland","2024-06-09","Morning Star Adoption Resource Inc.","2026-06-08","CB630246843","Regular","2484835484","48076-3048"
"1040 S WINTER ST, ADRIAN, Lenawee, MI 49221-3876, UNITED STATES","a0i8z0000006eHEAAY","LENAWEE COUNTY DHHS","Child Placing Agency: MDHHS","Adrian","Lenawee","2025-10-12","Michigan Department of Health and Human Services","2027-10-11","CP460201242","Regular","5172646300","49221-3876"
"111 S WALLACE BLVD, YPSILANTI, Washtenaw, MI 48197-4644, UNITED STATES","a0i8z0000006eIXAAY","Our House- Mosaic","Child Placing Agency: Private","Ypsilanti","Washtenaw","2024-01-26","Our House","2026-01-24","CB810406448","Regular","7345475519","48197-4644"
"201 COMMERCE DR, ITHACA, Gratiot, MI 48847-1601, UNITED STATES","a0i8z0000006eIYAAY","GRATIOT COUNTY DHHS","Child Placing Agency: MDHHS","Ithaca","Gratiot","2025-06-30","Michigan Department of Health and Human Services","2027-06-29","CP290201154","Regular","9898755181","48847-1601"
"126 MAPLE ST STE F, Suite F, BIG RAPIDS, Mecosta, MI 49307-1878, UNITED STATES","a0i8z0000006eIZAAY","Mecosta/Osceola Youth Attention Center","Child Placing Agency: Private","Big Rapids","Mecosta","2024-06-09","Mecosta/0sceola Youth Atten Center","2026-06-08","CB540201289","Regular","2315920129","49307-1878"
"1720 E M 21, OWOSSO, Shiawassee, MI 48867-9054, UNITED STATES","a0i8z0000006eJmAAI","SHIAWASSEE COUNTY DHHS","Child Placing Agency: MDHHS","Owosso","Shiawassee","2024-10-29","Michigan Department of Health and Human Services","2026-10-28","CP780201406","Regular","9897253200","48867-9054"
"901 CHIPPEWA ST, FLINT, Genesee, MI 48503-1552, UNITED STATES","a0i8z0000006eJoAAI","CATHOLIC CHARITIES OF SHIAWASSEE AND GENESEE","Child Placing Agency: Private","Flint","Genesee","2024-10-27","Catholic Charities of Shiawassee and Genesee Co","2026-10-26","CB250201015","Regular","8102329950","48503-1552"
"16250 NORTHLAND DR STE 120, Suite 120, SOUTHFIELD, Oakland, MI 48075-5226, UNITED STATES","a0i8z0000006eJpAAI","SPAULDING FOR CHILDREN","Child Placing Agency: Private","Southfield","Oakland","2025-10-02","Spaulding for Children","2027-10-01","CB630201414","Regular","2484437080","48075-5226"
"330 W MICHIGAN AVE, JACKSON, Jackson, MI 49201-2121, UNITED STATES","a0i8z0000006eOTAAY","FAMILY SERVICE & CHILDREN'S AID - JACKSON COUNTY","Child Placing Agency: Private","Jackson","Jackson","2025-06-30","Family Services & Children's Aid - Jackson County","2027-06-29","CB380201116","Regular","5177872738","49201-2121"
"781 AVIS DR STE 200, Suite 200, ANN ARBOR, Washtenaw, MI 48108-8959, UNITED STATES","a0i8z0000006gpVAAQ","HANDS ACROSS THE WATER","Child Placing Agency: Private","Ann Arbor","Washtenaw","2025-08-11","Hands Across The Water, Inc.","2027-08-10","CB810201161","Regular","7344770135","48108-8959"
"18688 JOANN ST, DETROIT, Wayne, MI 48205-2748, UNITED STATES","a0i8z0000006gpXAAQ","COMMUNITY CARE ORGANIZATION","Child Placing Agency: Private","Detroit","Wayne","2025-08-18","Community Care Organization","2026-02-17","CB820315857","1st Provisional","3133344750","48205-2748"
"920 E TINKHAM AVE, LUDINGTON, Mason, MI 49431-1538, UNITED STATES","a0i8z0000006gr8AAA","STAIRCASE YOUTH SERVICES","Child Placing Agency: Private","Ludington","Mason","2024-09-02","Staircase Youth Services, Inc","2026-09-01","CB530246146","Regular","2318433200","49431-1538"
"1018 E NEWELL ST, WHITE CLOUD, Newaygo, MI 49349-8795, UNITED STATES","a0i8z0000006gr9AAA","NEWAYGO/LAKE COUNTY DHHS","Child Placing Agency: MDHHS","White Cloud","Newaygo","2024-09-26","Michigan Department of Health and Human Services","2026-09-25","CP620201323","Regular","2316895500","49349-8795"
"412 CENTURY LN, HOLLAND, Ottawa, MI 49423-4285, UNITED STATES","a0i8z0000006grAAAQ","PATHWAYS OF ARBOR CIRCLE","Child Placing Agency: Private","Holland","Ottawa","2024-07-19","Arbor Circle Corporation","2026-07-18","CB700201042","Regular","6163962301","49423-4285"
"827 S HURON ST, CHEBOYGAN, Cheboygan, MI 49721-2209, UNITED STATES","a0i8z0000006h7QAAQ","CHEBOYGAN/PRESQUE ISLE COUNTY DHHS","Child Placing Agency: MDHHS","Cheboygan","Cheboygan","2025-08-16","Michigan Department of Health and Human Services","2027-08-15","CP160201035","Regular","2316278500","49721-2209"
"107 E ILLINOIS ST, MOUNT PLEASANT, Isabella, MI 48858-2503, UNITED STATES","a0i8z0000006hBuAAI","LISTENING EAR CRISIS CENTER","Child Placing Agency: Private","Mount Pleasant","Isabella","2025-03-20","Crisis Center Inc - DBA Listening Ear","2027-03-19","CB370201248","Regular","9897722919","48858-2503"
"305 LUDINGTON ST, ESCANABA, Delta, MI 49829-4056, UNITED STATES","a0i8z0000006hDOAAY","Delta/Dickinson/Menominee DHHS","Child Placing Agency: MDHHS","Escanaba","Delta","2024-10-24","Michigan Department of Health and Human Services","2026-10-23","CP210201090","Regular","9067865394","49829-4056"
"1030 N RIVER RD, SAGINAW, Saginaw, MI 48609-6832, UNITED STATES","a0i8z0000006hDPAAY","Holy Cross Children's Services -Mid-Michigan","Child Placing Agency: Private","Saginaw","Saginaw","2024-05-01","Holy Cross Children's Services","2026-04-30","CB730200994","Regular","9897992503","48609-6832"
"706 CHIPPEWA SQ, MARQUETTE, Marquette, MI 49855-4834, UNITED STATES","a0i8z0000006hDSAAY","CHILD & FAMILY SERVICES OF THE UPPER PENINSUL","Child Placing Agency: Private","Marquette","Marquette","2024-04-15","Child & Family Service of U P","2026-04-14","CB520201043","Regular","9062284025","49855-4834"
"692 E MAIN ST, CENTREVILLE, Saint Joseph, MI 49032-9301, UNITED STATES","a0i8z0000006hEpAAI","St. Joseph/Cass County DHHS","Child Placing Agency: MDHHS","CENTREVILLE","Saint Joseph","2025-08-10","Michigan Department of Health and Human Services","2027-08-09","CP750201427","Regular","2694671200","49032-9301"
"125 E UNION ST, FLINT, Genesee, MI 48502-2036, UNITED STATES","a0i8z0000006hJEAAY","Genesee County DHHS","Child Placing Agency: MDHHS","Flint","Genesee","2024-04-19","Michigan Department of Health and Human Services","2026-04-18","CP250201139","Regular","8107602645","48502-2036"
"222 HURON AVE, PORT HURON, Saint Clair, MI 48060-3822, UNITED STATES","a0i8z0000006hKqAAI","ENNIS CENTER FOR CHILDREN - PORT HURON","Child Placing Agency: Private","Port Huron","Saint Clair","2024-04-06","Ennis Center for Children Inc","2026-04-05","CB740315326","Regular","8109901424","48060-3822"
"1911 SAND BEACH RD, BAD AXE, Huron, MI 48413-8821, UNITED STATES","a0i8z0000006hPLAAY","HURON COUNTY DHHS","Child Placing Agency: MDHHS","Bad Axe","Huron","2025-05-16","Michigan Department of Health and Human Services","2027-05-15","CP320201183","Regular","9892699201","48413-8821"
"4371 STATE ST, SAGINAW, Saginaw, MI 48603-4029, UNITED STATES","a0i8z0000006hPPAAY","Adoption Partners of Michigan","Child Placing Agency: Private","Saginaw","Saginaw","2025-09-10","Swartz Christopher","2027-09-09","CB730236853","Regular","9897937000","48603-4029"
"6687 SEECO DR, KALAMAZOO, Kalamazoo, MI 49009-5970, UNITED STATES","a0i8z0000006hQvAAI","Bethany Christian Services-Southwest MI","Child Placing Agency: Private","Kalamazoo","Kalamazoo","2024-12-01","Bethany Christian Services Inc","2026-11-30","CB390267474","Regular","2693728800","49009-5970"
"79 W ALEXANDRINE ST, DETROIT, Wayne, MI 48201-2015, UNITED STATES","a0i8z0000006hQwAAI","CHILDREN'S CENTER WAYNE CO","Child Placing Agency: Private","Detroit","Wayne","2025-04-25","Childrens Center Wayne County","2027-04-24","CB820201055","Regular","3138315520","48201-2015"
"1401 W MICHIGAN AVE, JACKSON, Jackson, MI 49202-4022, UNITED STATES","a0i8z0000006hQxAAI","Open Door Family Services DBA","Child Placing Agency: Private","Jackson","Jackson","2025-11-03","Open Door Adoption Services","2027-11-02","CB380356643","Regular","5179367580","49202-4022"
"301 E LOUIS GLICK HWY, JACKSON, Jackson, MI 49201-1535, UNITED STATES","a0i8z0000006hQyAAI","Jackson County DHHS","Child Placing Agency: MDHHS","Jackson","Jackson","2025-01-31","Michigan Department of Health and Human Services","2027-01-30","CP380201203","Regular","5177807600","49201-1535"
"931 S OTSEGO AVE, GAYLORD, Otsego, MI 49735-1687, UNITED STATES","a0i8z0000006hVUAAY","Otsego/Crawford/Oscoda DHHS","Child Placing Agency: MDHHS","Gaylord","Otsego","2024-08-31","Michigan Department of Health and Human Services","2026-08-30","CP690201347","Regular","9897321702","49735-1687"
"1024 PROFESSIONAL DR, FLINT, Genesee, MI 48532-3635, UNITED STATES","a0i8z0000006hWrAAI","SAMARITAS - BAY","Child Placing Agency: Private","Flint","Genesee","2023-09-19","Samaritas","2025-09-17","CB250296641","Regular","7346463792","48532-3635"
"20300 Superior Rd, Suite 140, Taylor, Wayne, MI 48180-6302, UNITED STATES","a0i8z0000006hWtAAI","WOLVERINE HUMAN SERVICES AFTERCARE","Child Placing Agency: Private","Taylor","Wayne","2025-11-29","Wolverine Human Services","2027-11-28","CB820201514","Regular","3132956264","48180-6302"
"2800 W WILLOW ST, LANSING, Ingham, MI 48917-1833, UNITED STATES","a0i8z0000006k2dAAA","Catholic Charities Ingham Eaton Clinton","Child Placing Agency: Private","Lansing","Ingham","2025-04-16","St Vincent Catholic Charities","2027-04-15","CB330201019","Regular","5173234734","48917-1833"
"1475 US 31 Manistee, MANISTEE, Manistee, MI 49660-8942, UNITED STATES","a0i8z0000006kAMAAY","BENZIE/MANISTEE DHHS","Child Placing Agency: MDHHS","MANISTEE","Manistee","2025-07-16","Michigan Department of Health and Human Services","2027-07-15","CP510201273","Regular","2317238375","49660-8942"
"3255 122ND AVE, ALLEGAN, Allegan, MI 49010-9590, UNITED STATES","a0i8z0000006kBkAAI","ALLEGAN COUNTY DHHS","Child Placing Agency: MDHHS","Allegan","Allegan","2024-10-28","Michigan Department of Health and Human Services","2026-10-27","CP030200937","Regular","2696737700","49010-9590"
"625 Kenmoor Ave SE, Suite 106, Grand Rapids, Kent, MI 49546-2395, UNITED STATES","a0i8z0000006kD8AAI","WEST MI PARTNERSHIP FOR CHILDREN","Child Placing Agency: Private","Grand Rapids","Kent","2024-05-13","West Michigan Partnership for Children","2026-05-12","CB410381414","Regular","6165529811","49546-2395"
"1365 CLEAVER RD, CARO, Tuscola, MI 48723-9135, UNITED STATES","a0i8z0000006kJcAAI","TUSCOLA COUNTY DHHS","Child Placing Agency: MDHHS","Caro","Tuscola","2025-01-22","Michigan Department of Health and Human Services","2027-01-21","CP790201478","Regular","9896739207","48723-9135"
"2145 E US 23, EAST TAWAS, Iosco, MI 48730-9422, UNITED STATES","a0i8z0000006kKrAAI","IOSCO/ALCONA COUNTY DHHS","Child Placing Agency: MDHHS","East Tawas","Iosco","2024-08-31","Michigan Department of Health and Human Services","2026-08-30","CP350201199","Regular","9893620300","48730-9422"
"1115 BALL AVE NE, GRAND RAPIDS, Kent, MI 49505-5904, UNITED STATES","a0i8z0000006kKuAAI","ARBOR CIRCLE - HOMELESS YOUTH SERVICES","Child Placing Agency: Private","Grand Rapids","Kent","2025-07-05","Arbor Circle Corporation","2027-07-04","CB410201176","Regular","6164513001","49505-5904"
"20100 GREENFIELD RD, DETROIT, Wayne, MI 48235-1803, UNITED STATES","a0i8z0000006kKvAAI","ENNIS CENTER FOR CHILDREN - DETROIT","Child Placing Agency: Private","Detroit","Wayne","2024-05-22","Ennis Center for Children Inc","2026-05-21","CB820201107","Regular","3133422699","48235-1803"
"600 Walnut St, Alpena, Alpena, MI 49707-1832, UNITED STATES","a0i8z0000006kMLAAY","ALPENA/MONTMORENCY DHHS","Child Placing Agency: MDHHS","Alpena","Alpena","2025-06-03","Michigan Department of Health and Human Services","2027-06-02","CP040200941","Regular","9893547200","49707-1832"
"4341 S WESTNEDGE AVE STE 2000, Suite 2000, KALAMAZOO, Kalamazoo, MI 49008-3284, UNITED STATES","a0i8z0000006kVhAAI","SAMARITAS - SOUTHWEST","Child Placing Agency: Private","Kalamazoo","Kalamazoo","2024-05-15","Samaritas","2026-05-14","CB390258392","Regular","2693455776","49008-3284"
"114 ORCHARD LAKE RD, PONTIAC, Oakland, MI 48341-2244, UNITED STATES","a0i8z0000006kaGAAQ","OAKLAND FAMILY SERVICES","Child Placing Agency: Private","Pontiac","Oakland","2024-07-06","Oakland Family Services","2026-07-05","CB630201335","Regular","2488587766","48341-2244"
"42140 VAN DYKE AVE, STERLING HEIGHTS, Macomb, MI 48314-3677, UNITED STATES","a0i8z0000006kbLAAQ","FAMILY AND COMMUNITY SERVICES-MACOMB","Child Placing Agency: Private","Sterling Heights","Macomb","2025-05-08","Family & Community Services Inc","2027-05-07","CB500316267","Regular","5867262988","48314-3677"
"8017 Ohio St, Detroit, Wayne, MI 48204-3235, UNITED STATES","a0i8z000000b7qhAAA","Anderson Life Development Center","Child Placing Agency: Private","Detroit","Wayne","2025-07-02","Anderson Life Development Center","2027-07-01","CB821001419","Regular","3134677002","48204-3235"
"689 E 3 Mile Rd, Unit B, Sault S Marie, Chippewa, MI 49783-9322, UNITED STATES","a0i8z000000eIAWAA2","Arfstrom Faunt Independent Living Center","Child Placing Agency: Private","Sault S Marie","Chippewa","2025-04-26","Chippewa County Family Project Inc.","2027-04-25","CB171001625","Regular","9062590268","49783-9322"
"1441 S Westnedge Ave, Kalamazoo, Kalamazoo, MICHIGAN 49008-1370, UNITED STATES","a0i8z000000ffq1AAA","Catholic Charities Diocese of Kalamazoo","Child Placing Agency: Private","Kalamazoo","Kalamazoo","2025-01-15","Catholic Family Services","2027-01-14","CB391001684","Regular","2693819800","49008-1370"
"1126 Gull Rd, Kalamazoo, Kalamazoo, MI 49048-1726, UNITED STATES","a0i8z000000h9CYAAY","Heart for Home","Child Placing Agency: Private","Kalamazoo","Kalamazoo","2024-11-10","Heart for Home","2026-11-09","CB391001721","Regular","2699037500","49048-1726"
"930 Interchange Dr, Holland, Allegan, MI 49423-8508, UNITED STATES","a0i8z000000pkPSAAY","Grant Me Hope","Child Placing Agency: Private","Holland","Allegan","2024-09-03","Grant Me Hope","2026-09-02","CB031001797","Regular","6164035657","49423-8508"
"418 N Main St, Suite 250, Royal Oak, Oakland, MI 48067-1813, UNITED STATES","a0i8z000000zq28AAA","Lifeline Children's Services INC","Child Placing Agency: Private","Royal Oak","Oakland","2025-02-04","Lifeline Children's Services INC","2027-02-03","CB631002106","Regular","2059404624","48067-1813"
"406 S Blackstone St, Jackson, Jackson, MI 49201-2206, UNITED STATES","a0i8z000001BI1uAAG","My Place, Inc.","Child Placing Agency: Private","Jackson","Jackson","2026-01-07","My Place, Inc.","2028-01-06","CB381002610","Regular","5172505056","49201-2206"
"49676 Cranbrook Drive, Macomb, Macomb, MI 48044-1565, UNITED STATES","a0ics000002zFPBAA2","Genesis Youth Services, Inc","Child Placing Agency: Private","Macomb","Macomb","2025-11-18","Genesis Youth Services, Inc","2027-11-17","CB501003033","Regular","3138001159","48042-4111"
"221 W Webster Ave, Suite 509, Muskegon, Muskegon, MI 49440-1294, UNITED STATES","a0ics000004PrObAAK","Rooted in Community","Child Placing Agency: Private","Muskegon","Muskegon","2025-12-01","Rooted in Community","2027-11-30","CB611003227","Regular","6168880879","49440-1294"
"202 E 32nd St, Holland, Allegan, MI 49423-7075, UNITED STATES","a0ics000008nb6fAAA","Escape Ministries","Child Placing Agency: Private","Holland","Allegan","2026-02-18","Escape YFGK","2026-08-16","CB031003913","Original","6163964481","49423-7075"
"3200 Greenfield Rd, Suite 350, Dearborn, Wayne, MI 48120-1800, UNITED STATES","a0ics000009EiNNAA0","American Adoptions","Child Placing Agency: Private","Dearborn","Wayne","2026-02-17","American Adoptions of California","2026-08-15","CB821003986","Original","8002367846","48120-1800"
"2680 STEAMBURG RD, HILLSDALE, Hillsdale, MI 49242-2009, UNITED STATES","a0i8z0000006SSeAAM","HILLSDALE COUNTY YOUTH HOME","Court Operated Facilities","HILLSDALE","Hillsdale","2025-03-06","Hillsdale County Family Court","2027-03-05","CO300201173","Inspected","5174399120","49242-2009"
"1501 CEDAR ST, GRAND RAPIDS, Kent, MI 49503-1300, UNITED STATES","a0i8z0000006TupAAE","KENT COUNTY JUVENILE DETENTION CENTER","Court Operated Facilities","GRAND RAPIDS","Kent","2025-10-01","17th Circuit Court Family Division","2027-09-30","CO410201223","Inspected","6167743700","49503-1300"
"3360 HOSPITAL RD, SAGINAW, Saginaw, MI 48603-9622, UNITED STATES","a0i8z0000006TuqAAE","SAGINAW COUNTY DETENTION HOME","Court Operated Facilities","Saginaw","Saginaw","2024-08-11","Tenth Judicial Circuit Court of Michigan","2026-08-10","CO730201394","Inspected","9897992821","48603-9622"
"205 E APPLE AVE, MUSKEGON, Muskegon, MI 49442-3406, UNITED STATES","a0i8z0000006TurAAE","Muskegon County Juvenile Detention Center","Court Operated Facilities","MUSKEGON","Muskegon","2025-07-31","14th Circuit Court","2027-07-30","CO610385814","Inspected","2317248850","49442-3406"
"12110 FILLMORE ST, WEST OLIVE, Ottawa, MI 49460-8985, UNITED STATES","a0i8z0000006VOmAAM","OTTAWA COUNTY JUVENILE DETENTION CENTER","Court Operated Facilities","WEST OLIVE","Ottawa","2024-07-16","Ottawa County Twentieth Circuit Court","2026-07-15","CO700201349","Inspected","6167864130","49460-8985"
"6414 DEANS HILL RD, BERRIEN CENTER, Berrien, MI 49102-9750, UNITED STATES","a0i8z0000006VOnAAM","BERRIEN COUNTY JUVENILE CENTER","Court Operated Facilities","BERRIEN CENTER","Berrien","2024-08-01","Berrien County Trial Court-Family Division","2026-07-31","CO110200972","Inspected","2694712831","49102-9750"
"3600 S CUSTER RD, MONROE, Monroe, MI 48161-9058, UNITED STATES","a0i8z0000006WsCAAU","MONROE COUNTY YOUTH CENTER","Court Operated Facilities","MONROE","Monroe","2025-10-29","38th Judicial Circuit Court - Family Division","2027-10-28","CO580201307","Inspected","7342437316","48161-9058"
"822 COURTHOUSE DR, CHARLOTTE, Eaton, MI 48813-1069, UNITED STATES","a0i8z0000006WsDAAU","EATON COUNTY YOUTH FACILITY-COMMUNITY BASED TREATMENT","Court Operated Facilities","Charlotte","Eaton","2024-02-25","Eaton Co Juvenile Court","2026-02-23","CO230289991","Inspected","5175437500","48813-1069"
"822 COURTHOUSE DR, CHARLOTTE, Eaton, MI 48813-1069, UNITED STATES","a0i8z0000006XY9AAM","EATON COUNTY YOUTH FACILITY","Court Operated Facilities","CHARLOTTE","Eaton","2024-03-03","Eaton Co Juvenile Court","2026-03-02","CO230201104","Inspected","5175433244","48813-1069"
"2243 33RD ST, ALLEGAN, Allegan, MI 49010-9509, UNITED STATES","a0i8z0000006XYAAA2","ALLEGAN COUNTY YOUTH HOME","Court Operated Facilities","ALLEGAN","Allegan","2024-11-20","Allegan County Family Court","2026-11-19","CO030200938","Inspected","2696734167","49010-9509"
"3712 E ASHMAN ST, MIDLAND, Midland, MI 48642-9314, UNITED STATES","a0i8z0000006XYBAA2","Midland County Juvenile Justice Center","Court Operated Facilities","MIDLAND","Midland","2025-09-01","Midland County Probate Court","2027-08-31","CO560201303","Inspected","9898376087","48642-9314"
"700 E JOLLY RD, LANSING, Ingham, MI 48910-6832, UNITED STATES","a0i8z0000006bU2AAI","INGHAM COUNTY YOUTH CENTER","Court Operated Facilities","LANSING","Ingham","2024-11-26","30th Judicial Circuit Court, Family Division","2026-11-25","CO330201191","Inspected","5178874330","48910-6832"
"1424 GULL RD, KALAMAZOO, Kalamazoo, MI 49048-1605, UNITED STATES","a0i8z0000006er8AAA","KALAMAZOO COUNTY JUVENILE HOME","Court Operated Facilities","KALAMAZOO","Kalamazoo","2025-04-28","Kalamazoo County Family Court","2027-04-27","CO390201216","Inspected","2693858550","49048-1605"
